1 110 56 104
2 110 86 96
3 109 103 80
4 106 85 102
5 96 96 5
6 104 106 85
7 95 109 116
8 93 93 80
9 106 102 96
10 14 102 110
11 102 106 93
12 29 109 95
13 17 110 96
14 96 103 4
15 109 96 85
16 102 110 109
17 86 90 93
18 103 95 86
19 106 103 82
20 102 23 106
21 86 92 35
22 103 82 102
23 109 22 95
24 93 104 110
25 96 102 95
26 17 90 82
27 110 93 14
28 109 102 94
29 106 109 14
30 17 106 95
31 84 106 109
32 92 44 84
33 110 80 106
34 93 5 93
35 102 29 109
36 112 102 110
37 102 96 102
38 102 109 22
39 93 90 106
40 4 109 96
41 106 22 104
42 102 17 106
43 116 93 109
44 17 93 110
45 85 102 102
46 95 82 93
47 95 80 109
48 84 110 93
49 14 106 96
50 116 102 93
51 96 29 29
52 106 106 110
53 23 110 96
54 96 93 96
55 23 90 82
56 104 109 4
57 105 110 109
58 22 110 103
59 95 4 103
60 109 23 93
61 104 96 106
62 112 110 95
63 96 4 106
64 105 106 93
65 102 116 96
66 94 109 96
67 88 23 101
68 96 29 110
69 22 104 102
70 106 106 29
71 95 90 102
72 109 106 106
73 106 93 95
74 96 110 110
75 112 106 96
76 103 106 105
77 110 109 95
78 109 17 93
79 95 96 105
80 82 106 86
81 96 103 112
82 85 104 22
83 23 93 110
84 109 112 102
85 29 86 96
86 93 103 104
87 14 110 95
88 29 56 104
89 88 17 101
90 105 96 102
91 86 82 102
92 103 92 35
93 109 93 104
94 23 106 95
95 102 102 84
96 103 5 106
97 96 110 29
98 86 95 86
99 103 90 93
100 109 14 102
101 26 116 92
102 106 94 93
103 93 95 102
104 103 109 104
105 86 80 29
106 85 110 96
107 106 96 109
108 106 29 102
109 109 90 103
110 82 96 106
111 103 106 90
112 96 106 102
113 95 96 90
114 4 95 93
115 103 17 103
116 14 93 102
117 29 95 109
118 86 80 110
119 109 4 102
120 110 104 93
121 96 112 106
122 102 85 109
123 93 102 56
124 106 104 103
125 95 14 103
126 102 84 95
127 95 93 4
128 110 5 110
129 17 102 102
130 85 93 110
131 94 96 103
132 96 96 93
133 85 93 29
134 96 14 106
135 106 110 102
136 85 106 95
137 110 94 103
138 95 112 103
139 102 106 5
140 112 93 102
141 109 96 86
142 103 95 85
143 103 23 103
144 96 94 109
145 90 110 86
146 22 22 4
147 22 95 110
148 4 96 103
149 29 94 103
150 102 94 110
151 88 106 100
152 80 103 96
153 95 93 112
154 86 23 103
155 80 95 106
156 96 85 110
157 93 93 22
158 22 95 29
159 109 103 22
160 102 5 103
161 4 104 109
162 103 56 95
163 96 92 43
164 95 102 82
165 29 104 93
166 110 95 109
167 96 95 103
168 116 96 95
169 84 96 110
170 103 110 23
171 104 56 56
172 95 95 106
173 102 109 80
174 94 95 93
175 56 110 106
176 95 103 96
177 103 80 110
178 90 29 86
179 93 106 103
180 86 17 103
181 92 43 96
182 103 110 17
183 23 102 102
184 82 86 82
185 14 96 103
186 102 109 5
187 103 86 23
188 103 4 96
189 103 29 94
190 85 109 95
191 110 96 84
192 103 93 106
193 102 95 96
194 103 86 17
195 102 103 106
196 17 95 109
197 84 95 95
198 116 95 110
199 106 96 56
200 109 95 116
201 100 88 29
202 112 96 103
203 96 5 96
204 29 102 102
205 96 96 22
206 109 93 105
207 103 109 90
208 90 86 86
209 96 109 102
210 29 85 96
211 93 103 105
212 103 110 94
213 103 95 112
214 106 5 95
215 94 93 102
216 93 102 109
