1 68 75
2 36 47
3 95 93
4 77 75
5 116 105
6 10 113
7 103 96
8 95 106
9 98 99
10 95 104
11 10 114
12 8 117
13 6 10
14 86 103
15 56 104
16 74 24
17 35 44
18 86 96
19 102 93
20 86 90
21 103 86
22 80 82
23 75 24
24 44 18
25 1 117
26 14 116
27 18 26
28 102 104
29 102 106
30 13 27
31 112 86
32 96 86
33 58 76
34 109 95
35 29 106
36 24 68
37 29 104
38 24 77
39 6 114
40 14 86
41 109 102
42 93 109
43 7 1
44 6 113
45 96 103
46 100 101
47 8 7
48 4 29
49 29 93
50 113 108
51 19 28
52 86 116
53 110 93
54 43 35
55 109 29
56 90 86
57 9 107
58 114 108
59 110 106
60 1 7
61 110 104
62 104 109
63 109 110
64 10 6
65 106 109
66 5 86
67 26 44
68 47 36
69 109 86
70 113 114
71 96 95
72 28 19
73 94 86
74 93 104
75 108 115
76 114 113
77 27 28
78 86 17
79 29 4
80 93 106
81 23 82
82 96 102
83 62 31
84 14 105
85 29 109
86 16 9
87 47 33
88 109 103
89 86 23
90 50 67
91 24 75
92 106 104
93 71 48
94 109 96
95 105 14
96 75 74
97 4 22
98 90 80
99 96 29
100 99 98
101 104 106
102 110 109
103 48 31
104 81 11
105 106 93
106 6 108
107 96 110
108 26 43
109 17 82
110 71 62
111 104 93
112 86 105
113 86 95
114 85 104
115 114 10
116 36 33
117 103 110
118 116 86
119 86 80
120 22 29
121 95 109
122 26 35
123 113 10
124 117 1
125 84 86
126 27 19
127 68 77
128 43 44
129 86 102
130 44 26
131 103 29
132 77 68
133 90 17
134 103 102
135 102 109
136 114 6
137 107 9
138 16 107
139 21 64
140 113 6
141 35 43
142 86 110
143 53 51
144 10 108
145 32 64
146 90 23
147 103 95
148 96 109
149 80 23
150 77 74
151 48 71
152 29 102
153 108 10
154 110 29
155 109 93
156 68 74
157 93 103
158 115 113
159 29 56
160 115 114
161 23 90
162 26 18
163 93 86
164 17 86
165 29 95
166 56 85
167 13 28
168 104 96
169 80 17
170 106 96
171 109 104
172 109 106
173 29 110
174 106 103
175 17 90
176 108 6
177 86 112
178 110 95
179 86 14
180 104 103
181 117 7
182 93 96
183 104 86
184 106 86
185 23 86
186 62 71
187 86 5
188 40 39
189 28 13
190 110 102
191 115 10
192 113 115
193 86 94
194 86 109
195 7 8
196 13 19
197 43 26
198 102 29
199 19 27
200 108 114
201 114 115
202 108 113
203 51 53
204 9 16
205 82 86
206 56 29
207 102 110
208 65 63
209 5 112
210 95 102
211 115 6
212 82 90
213 95 29
214 31 71
215 102 95
216 74 68
217 27 13
218 74 77
219 86 84
220 103 109
221 95 110
222 76 58
223 29 85
224 75 68
225 22 4
226 112 5
227 75 77
228 48 62
229 102 96
230 39 40
231 85 56
232 19 13
233 17 23
234 44 43
235 67 50
236 95 86
237 86 93
238 105 86
239 6 115
240 71 31
241 77 24
242 24 74
243 95 103
244 68 24
245 82 80
246 104 85
247 86 106
248 80 86
249 86 104
250 102 86
251 18 44
252 62 48
253 107 16
254 63 65
255 80 90
256 103 104
257 103 106
258 86 82
259 95 96
260 85 29
261 23 17
262 102 103
263 103 93
264 87 3
265 35 26
266 74 75
267 104 110
268 93 102
269 90 82
270 29 22
271 117 8
272 82 23
273 96 93
274 110 96
275 29 103
276 106 110
277 33 47
278 106 29
279 3 87
280 93 95
281 10 115
282 96 104
283 11 81
284 104 29
285 17 80
286 96 106
287 82 17
288 101 100
289 64 32
290 21 32
291 116 14
292 93 110
293 31 62
294 104 102
295 104 56
296 105 116
297 106 102
298 64 21
299 110 86
300 115 108
301 7 117
302 104 95
303 28 27
304 29 96
305 23 80
306 110 103
307 32 21
308 44 35
309 93 29
310 33 36
311 31 48
312 106 95
