1 43 93 44
2 109 103 80
3 49 5 49
4 93 104 29
5 60 93 60
6 93 93 80
7 106 102 96
8 102 106 93
9 96 103 4
10 109 96 85
11 86 90 93
12 86 5 106
13 103 82 102
14 110 93 14
15 106 109 14
16 84 106 109
17 44 105 26
18 110 80 106
19 102 96 102
20 102 109 22
21 94 86 95
22 115 56 108
23 85 102 102
24 95 82 93
25 114 4 108
26 14 106 96
27 98 65 115
28 96 93 96
29 104 109 4
30 105 110 109
31 109 23 93
32 104 96 106
33 44 93 18
34 112 110 95
35 115 82 6
36 94 109 96
37 115 23 113
38 96 29 110
39 106 106 29
40 6 105 114
41 18 103 26
42 96 110 110
43 112 106 96
44 109 17 93
45 71 29 71
46 78 84 78
47 14 110 95
48 102 102 84
49 115 17 113
50 109 14 102
51 106 94 93
52 93 95 102
53 103 109 104
54 31 22 31
55 85 110 96
56 108 95 108
57 106 29 102
58 100 100 29
59 112 104 56
60 4 95 93
61 103 17 103
62 86 80 110
63 110 104 93
64 102 85 109
65 93 102 56
66 86 90 5
67 95 14 103
68 95 93 4
69 110 5 110
70 115 105 10
71 85 93 110
72 94 96 103
73 96 14 106
74 106 110 102
75 85 106 95
76 86 86 94
77 56 102 104
78 102 106 5
79 109 96 86
80 103 23 103
81 96 94 109
82 85 29 96
83 104 116 104
84 92 92 106
85 26 93 26
86 96 85 29
87 114 112 108
88 102 26 92
89 3 3 102
90 102 94 29
91 115 5 115
92 103 44 92
93 93 93 22
94 109 103 22
95 102 5 103
96 103 56 95
97 29 104 93
98 96 95 103
99 84 96 110
100 104 56 56
101 102 109 80
102 95 95 106
103 108 85 10
104 55 90 55
105 95 103 96
106 64 101 47
107 10 103 6
108 35 23 43
109 103 4 96
110 9 15 10
111 110 96 84
112 112 90 86
113 102 95 96
114 117 23 7
115 62 22 62
116 104 109 86
117 102 103 106
118 105 88 101
119 17 95 109
120 116 95 110
121 106 96 56
122 10 96 114
123 96 5 96
124 40 4 39
125 29 102 102
126 96 96 22
127 98 63 114
128 103 109 90
129 90 86 86
130 96 109 102
131 35 17 43
132 14 90 86
133 103 110 94
134 103 95 112
135 94 93 102
136 117 17 7
137 22 96 95
138 106 84 103
139 10 14 10
140 93 109 103
141 23 95 109
142 86 80 14
143 96 103 86
144 115 90 10
145 102 104 95
146 112 35 92
147 86 106 104
148 110 102 102
149 103 22 29
150 80 82 80
151 14 95 93
152 95 93 85
153 93 110 84
154 43 5 44
155 60 5 60
156 49 93 49
157 106 95 84
158 104 103 102
159 14 35 92
160 110 95 56
161 4 104 56
162 86 93 106
163 112 95 93
164 86 14 96
165 28 63 43
166 35 86 18
167 4 29 95
168 4 106 96
169 71 4 62
170 104 106 112
171 102 110 56
172 99 65 10
173 96 86 29
174 22 102 93
175 110 22 106
176 93 94 95
177 114 80 6
178 29 110 96
179 17 109 95
180 116 110 103
181 109 88 100
182 26 5 26
183 29 29 96
184 94 102 110
185 29 106 95
186 106 56 106
187 23 86 96
188 98 2 114
189 110 116 109
190 108 86 10
191 29 93 110
192 109 56 110
193 102 93 103
194 115 93 115
195 4 110 95
196 103 96 116
197 93 96 96
198 6 90 114
199 104 109 85
200 95 106 116
201 96 110 14
202 109 102 23
203 110 93 110
204 44 90 26
205 114 102 114
206 23 109 95
207 110 29 96
208 40 112 39
209 84 86 93
210 109 102 17
211 5 43 92
212 103 109 105
213 110 106 95
214 86 103 103
215 44 110 44
216 109 109 106
217 84 102 103
218 109 96 4
219 44 29 44
220 96 103 85
